"filename", "language", "PHP", "JavaScript", "Markdown", "CSS", "XML", "JSON", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\dpr\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\xampp\htdocs\dpr\README.md", "Markdown", 0, 0, 42, 0, 0, 0, 0, 0, 21, 63
"c:\xampp\htdocs\dpr\app\Actions\Fortify\CreateNewUser.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 6, 6, 42
"c:\xampp\htdocs\dpr\app\Actions\Fortify\PasswordValidationRules.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\dpr\app\Actions\Fortify\ResetUserPassword.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 6, 31
"c:\xampp\htdocs\dpr\app\Actions\Fortify\UpdateUserPassword.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 7, 6, 36
"c:\xampp\htdocs\dpr\app\Actions\Fortify\UpdateUserProfileInformation.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 14, 8, 62
"c:\xampp\htdocs\dpr\app\Console\Kernel.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 18, 7, 42
"c:\xampp\htdocs\dpr\app\Exceptions\Handler.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 17, 6, 42
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\BenefitController.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 48, 10, 86
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\BenefitTypeController.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 49, 16, 121
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\BusinessUnitController.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 49, 16, 121
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\FunctionalAreaController.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 50, 21, 139
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\ProcessController.php", "PHP", 90, 0, 0, 0, 0, 0, 0, 51, 25, 166
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\StatusController.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 50, 15, 119
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\UserController.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 57, 16, 134
"c:\xampp\htdocs\dpr\app\Http\Controllers\Controller.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\dpr\app\Http\Controllers\ProcessController.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 48, 10, 86
"c:\xampp\htdocs\dpr\app\Http\Controllers\User\GlossaryController.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 1, 4, 12
"c:\xampp\htdocs\dpr\app\Http\Controllers\User\Profile.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 1, 5, 17
"c:\xampp\htdocs\dpr\app\Http\Kernel.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 21, 7, 68
"c:\xampp\htdocs\dpr\app\Http\Middleware\AccessAdmin.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 7, 6, 28
"c:\xampp\htdocs\dpr\app\Http\Middleware\Authenticate.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 6, 4, 22
"c:\xampp\htdocs\dpr\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\dpr\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\dpr\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 8, 6, 33
"c:\xampp\htdocs\dpr\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 5, 4, 20
"c:\xampp\htdocs\dpr\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 5, 4, 21
"c:\xampp\htdocs\dpr\app\Http\Middleware\TrustProxies.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 10, 5, 24
"c:\xampp\htdocs\dpr\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\dpr\app\Models\Benefit.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 7, 23
"c:\xampp\htdocs\dpr\app\Models\BenefitType.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\xampp\htdocs\dpr\app\Models\BusinessUnit.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 9, 26
"c:\xampp\htdocs\dpr\app\Models\FunctionalArea.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\xampp\htdocs\dpr\app\Models\Process.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 12, 37
"c:\xampp\htdocs\dpr\app\Models\ProcessBenefits.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\xampp\htdocs\dpr\app\Models\Role.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\xampp\htdocs\dpr\app\Models\Status.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 10, 21
"c:\xampp\htdocs\dpr\app\Models\User.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 18, 12, 65
"c:\xampp\htdocs\dpr\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 12, 5, 29
"c:\xampp\htdocs\dpr\app\Providers\AuthServiceProvider.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 12, 8, 39
"c:\xampp\htdocs\dpr\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\xampp\htdocs\dpr\app\Providers\EventServiceProvider.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 11, 5, 33
"c:\xampp\htdocs\dpr\app\Providers\FortifyServiceProvider.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 11, 9, 65
"c:\xampp\htdocs\dpr\app\Providers\RouteServiceProvider.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 25, 9, 64
"c:\xampp\htdocs\dpr\bootstrap\app.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 30, 9, 56
"c:\xampp\htdocs\dpr\composer.json", "JSON", 0, 0, 0, 0, 0, 64, 0, 0, 1, 65
"c:\xampp\htdocs\dpr\composer.lock", "JSON", 0, 0, 0, 0, 0, 7705, 0, 0, 1, 7706
"c:\xampp\htdocs\dpr\config\app.php", "PHP", 80, 0, 0, 0, 0, 0, 0, 122, 34, 236
"c:\xampp\htdocs\dpr\config\auth.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 70, 15, 118
"c:\xampp\htdocs\dpr\config\broadcasting.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 22, 13, 65
"c:\xampp\htdocs\dpr\config\cache.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 34, 18, 107
"c:\xampp\htdocs\dpr\config\cors.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 29, 3, 35
"c:\xampp\htdocs\dpr\config\database.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 45, 22, 148
"c:\xampp\htdocs\dpr\config\filesystems.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 32, 13, 73
"c:\xampp\htdocs\dpr\config\fortify.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 94, 24, 146
"c:\xampp\htdocs\dpr\config\hashing.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\xampp\htdocs\dpr\config\logging.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 24, 17, 105
"c:\xampp\htdocs\dpr\config\mail.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 47, 18, 111
"c:\xampp\htdocs\dpr\config\queue.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 32, 15, 94
"c:\xampp\htdocs\dpr\config\services.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 11, 7, 34
"c:\xampp\htdocs\dpr\config\session.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\dpr\config\view.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\xampp\htdocs\dpr\database\factories\BusinessUnitFactory.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 11, 5, 31
"c:\xampp\htdocs\dpr\database\factories\FunctionalAreaFactory.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 11, 6, 33
"c:\xampp\htdocs\dpr\database\factories\ProcessFactory.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 11, 5, 39
"c:\xampp\htdocs\dpr\database\factories\RoleFactory.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 11, 5, 30
"c:\xampp\htdocs\dpr\database\factories\StatusFactory.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 12, 5, 31
"c:\xampp\htdocs\dpr\database\factories\UserFactory.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 15, 6, 48
"c:\xampp\htdocs\dpr\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\dpr\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\dpr\database\migrations\2014_10_12_200000_add_two_factor_columns_to_users_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 10, 5, 39
"c:\xampp\htdocs\dpr\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\dpr\database\migrations\2021_03_13_145301_create_roles_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\dpr\database\migrations\2021_03_13_145554_create_role_user_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 10, 5, 37
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_113926_create_glossaries_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 10, 4, 32
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_195834_create_business_units_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_200635_create_functional_areas_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 10, 5, 37
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_205549_create_processes_table.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 10, 7, 43
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_205617_create_benefit_types_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_205702_create_process_benefits_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 10, 4, 32
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_205731_create_statuses_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\dpr\database\migrations\2021_03_18_092058_create_benefits_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 10, 4, 35
"c:\xampp\htdocs\dpr\database\seeders\BusinessUnitSeeder.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 6, 4, 21
"c:\xampp\htdocs\dpr\database\seeders\DatabaseSeeder.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 6, 5, 27
"c:\xampp\htdocs\dpr\database\seeders\FunctionalAreaSeeder.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 6, 4, 21
"c:\xampp\htdocs\dpr\database\seeders\ProcessSeeder.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 6, 4, 21
"c:\xampp\htdocs\dpr\database\seeders\RoleSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 7, 4, 28
"c:\xampp\htdocs\dpr\database\seeders\RoleUserSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 6, 6, 29
"c:\xampp\htdocs\dpr\database\seeders\StatusSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 6, 4, 27
"c:\xampp\htdocs\dpr\database\seeders\UserSeeder.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 6, 4, 21
"c:\xampp\htdocs\dpr\package.json", "JSON", 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\xampp\htdocs\dpr\phpunit.xml", "XML", 0, 0, 0, 0, 29, 0, 0, 2, 1, 32
"c:\xampp\htdocs\dpr\public\css\app.css", "CSS", 0, 0, 0, 43, 0, 0, 0, 0, 13, 56
"c:\xampp\htdocs\dpr\public\index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\xampp\htdocs\dpr\resources\css\app.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\dpr\resources\js\app.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\dpr\resources\js\bootstrap.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 18, 8, 29
"c:\xampp\htdocs\dpr\resources\lang\en\auth.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 10, 5, 21
"c:\xampp\htdocs\dpr\resources\lang\en\pagination.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\xampp\htdocs\dpr\resources\lang\en\passwords.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\dpr\resources\lang\en\validation.php", "PHP", 114, 0, 0, 0, 0, 0, 0, 30, 9, 153
"c:\xampp\htdocs\dpr\resources\views\admin\benefit-types\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\benefit-types\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\benefit-types\index.blade.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 2, 5, 54
"c:\xampp\htdocs\dpr\resources\views\admin\benefit-types\partials\form.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\xampp\htdocs\dpr\resources\views\admin\benefits\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\benefits\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\benefits\index.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 2, 5, 56
"c:\xampp\htdocs\dpr\resources\views\admin\benefits\partials\form.blade.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\xampp\htdocs\dpr\resources\views\admin\business-units\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\business-units\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\business-units\index.blade.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 2, 5, 54
"c:\xampp\htdocs\dpr\resources\views\admin\business-units\partials\form.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\xampp\htdocs\dpr\resources\views\admin\functional-areas\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\functional-areas\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\functional-areas\index.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 2, 5, 56
"c:\xampp\htdocs\dpr\resources\views\admin\functional-areas\partials\form.blade.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\xampp\htdocs\dpr\resources\views\admin\processes\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\processes\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\processes\index.blade.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 2, 8, 65
"c:\xampp\htdocs\dpr\resources\views\admin\processes\partials\form.blade.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 9, 85
"c:\xampp\htdocs\dpr\resources\views\admin\statuses\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\statuses\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\statuses\index.blade.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 2, 6, 53
"c:\xampp\htdocs\dpr\resources\views\admin\statuses\partials\form.blade.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\xampp\htdocs\dpr\resources\views\admin\users\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\users\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\users\index.blade.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 2, 5, 54
"c:\xampp\htdocs\dpr\resources\views\admin\users\partials\form.blade.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 2, 69
"c:\xampp\htdocs\dpr\resources\views\auth\forgot-password.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\xampp\htdocs\dpr\resources\views\auth\login.blade.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\xampp\htdocs\dpr\resources\views\auth\register.blade.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 4, 63
"c:\xampp\htdocs\dpr\resources\views\auth\reset-password.blade.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 3, 60
"c:\xampp\htdocs\dpr\resources\views\auth\verify-email.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\layouts\app.blade.php", "PHP", 150, 0, 0, 0, 0, 0, 0, 0, 39, 189
"c:\xampp\htdocs\dpr\resources\views\partials\alerts.blade.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\xampp\htdocs\dpr\resources\views\user\profile.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\xampp\htdocs\dpr\resources\views\welcome.blade.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\xampp\htdocs\dpr\routes\api.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\dpr\routes\channels.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 10, 4, 19
"c:\xampp\htdocs\dpr\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\dpr\routes\web.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 12, 8, 43
"c:\xampp\htdocs\dpr\server.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 9, 5, 22
"c:\xampp\htdocs\dpr\tests\CreatesApplication.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 5, 6, 23
"c:\xampp\htdocs\dpr\tests\Feature\ExampleTest.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\xampp\htdocs\dpr\tests\Feature\HomepageTest.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 5, 5, 24
"c:\xampp\htdocs\dpr\tests\Feature\LoginPageTest.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 5, 14, 61
"c:\xampp\htdocs\dpr\tests\TestCase.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\xampp\htdocs\dpr\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\dpr\webpack.mix.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 11, 3, 18
"Total", "-", 3775, 8, 42, 54, 29, 7787, 13, 1914, 1071, 14693